STATION,NAME,DATE,TMAX,TMIN,WDFG,WSFG
SPW00013025,"ROTA NAS, SP",4/27/1970,66,45,315,25.3
SPW00013025,"ROTA NAS, SP",4/28/1970,71,44,293,25.3
SPW00013025,"ROTA NAS, SP",4/29/1970,72,43,23,24.2
SPW00013025,"ROTA NAS, SP",4/30/1970,78,43,45,16.1
SPW00013025,"ROTA NAS, SP",5/1/1970,79,47,135,26.4
SPW00013025,"ROTA NAS, SP",5/2/1970,77,51,135,33.3
SPW00013025,"ROTA NAS, SP",5/3/1970,70,57,113,25.3
SPW00013025,"ROTA NAS, SP",5/4/1970,67,56,270,20.8
SPW00013025,"ROTA NAS, SP",5/5/1970,68,56,270,26.4
SPW00013025,"ROTA NAS, SP",5/6/1970,64,49,248,26.4
SPW00013025,"ROTA NAS, SP",5/7/1970,63,48,293,25.3
SPW00013025,"ROTA NAS, SP",5/8/1970,59,43,158,38
SPW00013025,"ROTA NAS, SP",5/9/1970,58,47,248,26.4
SPW00013025,"ROTA NAS, SP",5/10/1970,58,47,135,19.5
SPW00013025,"ROTA NAS, SP",5/11/1970,67,52,225,28.9
SPW00013025,"ROTA NAS, SP",5/12/1970,66,54,203,18.3
SPW00013025,"ROTA NAS, SP",5/13/1970,73,48,203,15
SPW00013025,"ROTA NAS, SP",5/14/1970,72,60,248,25.3
SPW00013025,"ROTA NAS, SP",5/15/1970,72,58,248,18.3
SPW00013025,"ROTA NAS, SP",5/16/1970,71,52,270,21.9
SPW00013025,"ROTA NAS, SP",5/17/1970,83,54,45,33.3
SPW00013025,"ROTA NAS, SP",5/18/1970,83,53,23,28.9
SPW00013025,"ROTA NAS, SP",5/19/1970,83,52,113,25.3
SPW00013025,"ROTA NAS, SP",5/20/1970,82,53,113,24.2
SPW00013025,"ROTA NAS, SP",5/21/1970,84,51,158,16.1
SPW00013025,"ROTA NAS, SP",5/22/1970,88,52,180,12.8
SPW00013025,"ROTA NAS, SP",5/23/1970,87,54,113,30
SPW00013025,"ROTA NAS, SP",5/24/1970,87,59,113,34.4
SPW00013025,"ROTA NAS, SP",5/25/1970,90,58,135,23
SPW00013025,"ROTA NAS, SP",5/26/1970,82,56,113,28.9
SPW00013025,"ROTA NAS, SP",5/27/1970,85,55,113,27.5
SPW00013025,"ROTA NAS, SP",5/28/1970,81,52,135,16.1
SPW00013025,"ROTA NAS, SP",5/29/1970,84,56,225,10.3
SPW00013025,"ROTA NAS, SP",5/30/1970,89,59,135,21.9
SPW00013025,"ROTA NAS, SP",5/31/1970,83,66,113,34.4
SPW00013025,"ROTA NAS, SP",6/1/1970,82,64,135,27.5
SPW00013025,"ROTA NAS, SP",6/2/1970,87,56,135,27.5
SPW00013025,"ROTA NAS, SP",6/3/1970,72,62,203,21.9
SPW00013025,"ROTA NAS, SP",6/4/1970,72,60,203,16.1
SPW00013025,"ROTA NAS, SP",6/5/1970,70,58,180,28.9
SPW00013025,"ROTA NAS, SP",6/6/1970,69,59,225,35.6
SPW00013025,"ROTA NAS, SP",6/7/1970,69,59,270,30
SPW00013025,"ROTA NAS, SP",6/8/1970,70,59,270,24.2
SPW00013025,"ROTA NAS, SP",6/9/1970,75,55,293,17.2
SPW00013025,"ROTA NAS, SP",6/10/1970,79,52,225,16.1
SPW00013025,"ROTA NAS, SP",6/11/1970,73,58,315,19.5
